name,score,k
medium107.in,98807.81466029969,12
medium108.in,106503.47401903174,12
medium109.in,2010.5536923187667,6
medium11.in,83844.81407646282,12
medium110.in,120470.60473094737,11
medium111.in,117481.93454924034,12
medium112.in,68847.74667017453,12
medium113.in,68264.9267061148,10
medium114.in,11164.56853587676,6
medium115.in,3313.3874872134515,6
medium116.in,739.905609893065,4
medium117.in,12008.020270249175,9
medium118.in,96615.19397558896,10
medium119.in,30247.913986133608,8
medium12.in,70192.34327208764,11
medium120.in,272.8281828459045,2
medium121.in,2174.5685358767214,6
medium122.in,11346.308859546183,8
medium123.in,2009.5536923187667,6
medium124.in,93205.91519133469,12
medium125.in,272.8281828459045,2
medium126.in,2009.5536923187667,6
medium127.in,14842.31591025766,6
medium128.in,2332.6403407814387,5
medium129.in,47444.0869160096,10
medium13.in,366586.3255958509,13
medium130.in,14544.814293162972,8
medium131.in,275958.3206689866,12
medium132.in,99737.49225722316,10
medium133.in,1219.2493960703473,6
medium134.in,122703.80922386392,12
medium135.in,67814.25882324844,12
medium136.in,1219.2493960703473,6
medium137.in,79382.16567854793,12
medium138.in,60663.71848132416,12
medium139.in,3325.5536923187665,6
medium14.in,2110.5536923187665,6
medium140.in,109486.01581064692,12
medium141.in,741.905609893065,4
medium142.in,9574.13514384719,8
medium143.in,1077.905609893065,4
medium144.in,83636.49323151434,11
medium145.in,9527.247603524504,6
medium146.in,5461.205948025528,6
medium147.in,77590.43664660992,12
medium148.in,55410.77278818425,8
medium149.in,28480.32049157658,8
medium15.in,739.905609893065,4
medium150.in,84718.25357520732,12
medium151.in,35974.870601390765,10
medium152.in,1818.2493960703475,6
medium153.in,2009.5536923187667,6
medium154.in,38842.31591025766,10
medium155.in,16492.252295290695,8
medium156.in,227364.98008567136,12
medium157.in,32864.00700880903,10
medium158.in,8461.205948025545,8
medium159.in,21280.77278818516,8
medium16.in,12146.308859545312,9
medium160.in,739.905609893065,4
medium161.in,11789.101332588874,8
medium162.in,2009.5536923187667,6
medium163.in,87557.74944954777,10
medium164.in,113428.31664124977,12
medium165.in,71119.86682963584,12
medium166.in,54435.59297944166,10
medium167.in,81151.2735594355,12
medium168.in,16898.910580015872,10
medium169.in,85017.42232091131,12
medium17.in,1315.4603010261908,4
medium170.in,17453.31591025766,10
medium171.in,1583.1541272981208,4
medium172.in,4243.217565599373,6
medium173.in,4900.786328891361,7
medium174.in,76402.31664124975,12
medium175.in,33534.55997845206,10
medium176.in,2009.5536923187667,6
medium177.in,17327.40737527859,10
medium178.in,5604.205948025532,8
medium179.in,119244.2702939846,12
medium18.in,14842.31591025766,10
medium180.in,2009.5536923187667,6
medium181.in,298.9362576170106,2
medium182.in,66541.86682963584,11
medium183.in,199343.8793492735,12
medium184.in,11212.622718546483,8
medium185.in,6368.024496994366,8
medium186.in,16141.706854968734,10
medium187.in,78877.08589080998,12
medium188.in,6359.488419508084,6
medium189.in,2009.5536923187667,6
medium19.in,134461.0942314801,12
medium190.in,128442.16567854791,12
medium191.in,449.5598517448982,4
medium192.in,159252.4223209113,12
medium193.in,5871.205948025531,8
medium194.in,2009.5536923187667,6
medium195.in,111470.58026927942,12
medium196.in,79722.1234174679,12
medium197.in,49356.3711102245,10
medium198.in,122622.71848132418,12
medium199.in,17674.250637446967,10
medium2.in,148914.46887218827,12
medium20.in,62292.31591025766,10
medium200.in,52369.83924237915,10
medium201.in,77737.16567854793,12
medium202.in,233376.1234174679,12
medium203.in,94485.57044782488,12
medium204.in,10097.320491582,8
medium205.in,61724.7915239228,12
medium206.in,272.8281828459045,2
medium207.in,1725.640340781439,6
medium208.in,2009.5536923187667,6
medium209.in,344.7786835931714,2
medium21.in,739.905609893065,4
medium210.in,1219.2493960703473,4
medium211.in,11346.308859546192,8
medium212.in,15376.31591025766,10
medium213.in,54828.31591025766,10
medium214.in,25143.086916009604,10
medium215.in,11446.850845375597,8
medium216.in,208343.8793492735,12
medium217.in,77135.16567854793,12
medium218.in,449.1689070338065,3
medium219.in,111112.77770728632,12
medium22.in,2130.324698070718,6
medium220.in,37313.37111022449,10
medium221.in,63947.74667017452,12
medium222.in,165609.46151049,10
medium223.in,440502.6535340232,13
medium224.in,35346.0426970733,10
medium225.in,739.905609893065,4
medium226.in,20501.910580015872,10
medium227.in,739.905609893065,3
medium228.in,21451.4045262292,8
medium229.in,272.8281828459045,2
medium23.in,764.905609893065,4
medium230.in,739.905609893065,4
medium231.in,1793.2493960703473,5
medium232.in,2009.5536923187667,6
medium233.in,88300.16567854793,12
medium234.in,134280.2735594355,12
medium235.in,12008.020270249175,9
medium236.in,1433.2493960703473,6
medium237.in,72573.41592657611,12
medium238.in,1219.2493960703473,4
medium239.in,1219.2493960703473,5
medium24.in,739.905609893065,4
medium240.in,96071.74944955336,10
medium241.in,127174.62251857056,12
medium242.in,92732.41592657613,12
medium243.in,449.1689070338065,4
medium244.in,2009.5536923187667,6
medium245.in,59842.31591025766,10
medium246.in,2009.5536923187667,6
medium247.in,21827.05911098032,8
medium248.in,101843.57044782488,12
medium249.in,272.8281828459045,2
medium25.in,2129.5536923187665,6
medium250.in,42152.70685496873,10
medium251.in,22595.00700880903,10
medium252.in,19898.58045095321,10
medium253.in,71071.16567854793,12
medium254.in,2009.5536923187667,6
medium255.in,56992.57044782487,12
medium256.in,272.8281828459045,2
medium257.in,118784.01581064692,12
medium258.in,739.905609893065,4
medium259.in,21882.0869160096,10
medium26.in,92998.16567854791,12
medium260.in,5108.553692318767,6
medium27.in,91302.43404040662,12
medium28.in,72508.34327208763,11
medium29.in,147049.71848132418,12
medium3.in,302664.85625402455,14
medium30.in,95469.19397558138,10
medium31.in,2009.5536923187667,6
medium32.in,3560.1929430497485,7
medium33.in,124344.47401903174,12
medium34.in,116789.71848132416,12
medium35.in,14842.31591025766,10
medium36.in,136075.9746299298,11
medium37.in,20926.40737527859,10
medium38.in,30543.302652966944,9
medium39.in,739.905609893065,4
medium4.in,123327.31664124977,12
medium40.in,78848.5579216709,10
medium41.in,272.8281828459045,2
medium42.in,377515.414599937,13
medium43.in,272.8281828459045,2
medium44.in,15707.559978452062,10
medium45.in,280343.8793492735,12
medium46.in,1232.5515381986818,5
medium47.in,29470.60473094827,11
medium48.in,91412.48515159088,10
medium49.in,90265.25882324844,12
medium5.in,17824.25610168999,8
medium50.in,739.905609893065,4
medium51.in,1257.905609893065,4
medium52.in,71243.01581064693,12
medium53.in,449.1689070338065,3
medium54.in,16434.31591025766,10
medium55.in,18927.4073752786,10
medium56.in,31272.27065208958,10
medium57.in,2258.5536923187665,6
medium58.in,272.8281828459045,2
medium59.in,80369.12341746791,12
medium6.in,449.1689070338065,3
medium60.in,129345.12341746793,12
medium61.in,24734.045229451243,8
medium62.in,122544.81407646282,12
medium63.in,2610.5536923187665,6
medium64.in,19581.70685496874,10
medium65.in,2009.5536923187667,6
medium66.in,165609.4615104715,10
medium67.in,110789.16567854791,12
medium68.in,15678.31591025766,10
medium69.in,272.8281828459045,2
medium7.in,83619.8668296352,12
medium70.in,3312.786328891362,8
medium71.in,149443.1330647236,12
medium72.in,961.905609893065,4
medium73.in,83463.27355943549,12
medium74.in,56359.49323151434,12
medium75.in,193708.13306472643,12
medium76.in,15324.91058001588,10
medium77.in,3590.6201009595734,7
medium78.in,18151.20594802555,8
medium79.in,51419.40379668506,8
medium8.in,73165.65035502544,12
medium80.in,44898.75320223391,10
medium81.in,21959.40728336576,8
medium82.in,81785.16567854793,12
medium83.in,739.905609893065,4
medium84.in,3312.7863288912586,7
medium85.in,3312.786328891362,7
medium86.in,20888.62171090828,8
medium87.in,2145.5536923187665,6
medium88.in,114809.42232091133,12
medium89.in,4141.553692318767,6
medium9.in,79493.01581064693,12
medium90.in,14842.31591025766,10
medium91.in,4967.956133256657,6
medium92.in,89588.83887374261,12
medium93.in,31865.18323115868,10
medium94.in,30470.604730948115,11
medium95.in,100508.57044782488,12
medium96.in,272.8281828459045,2
medium97.in,5009.553692318767,6
medium98.in,1159.905609893065,4
medium99.in,739.905609893065,4
small1.in,156318.015810647,12
small10.in,111089.48951581027,11
small100.in,402517.3688118974,13
small101.in,129586.27302561836,11
small102.in,133107.7311602446,12
small103.in,2010.797760513202,6
small104.in,769.905609893065,4
small105.in,328352.7167392206,12
small106.in,5560.506101865779,8
small107.in,45727.3467876988,11
small108.in,79375.68109196615,10
small109.in,304272.01581064693,12
small11.in,2010.797760513196,5
small110.in,402517.3688118974,13
small111.in,163305.90918776827,11
small112.in,97187.90918776828,11
small113.in,5505.506101865769,8
small114.in,387181.3688118974,13
small115.in,23403.64785724148,9
small116.in,2065.462600323948,6
small117.in,15744.771207002124,8
small118.in,162547.14243574018,11
small119.in,402517.3688118974,13
small12.in,739.905609893065,4
small120.in,402517.3688118974,13
small121.in,2089.205439535331,6
small122.in,68842.31591025766,10
small123.in,741.5967084444565,4
small124.in,159274.01581064696,12
